Date,Open,High,Low,Close,Adj Close,Volume,Stock Name,daily_sentiment
2021-09-30,142.63999938964844,142.74000549316406,139.52999877929688,139.8000030517578,135.5730438232422,6934900,PG,0.25698
2021-10-01,139.92999267578125,140.22999572753906,138.32000732421875,139.5800018310547,135.3596954345703,5587200,PG,0.35965
2021-10-04,139.38999938964844,140.39999389648438,137.60000610351562,138.7899932861328,134.5935516357422,5816000,PG,0.279425
2021-10-05,138.8000030517578,140.52000427246094,138.72000122070312,139.3300018310547,135.11724853515625,6902700,PG,0.13415
2021-10-06,138.99000549316406,141.25999450683594,138.6199951171875,141.19000244140625,136.92100524902344,5332900,PG,0.28147142857142854
2021-10-07,141.75,143.02999877929688,141.75,142.32000732421875,138.016845703125,5334600,PG,0.2763
2021-10-08,142.2899932861328,142.6199951171875,141.0399932861328,141.72999572753906,137.44467163085938,6131800,PG,0.40805
2021-10-11,142.3699951171875,142.77000427246094,141.77000427246094,142.32000732421875,138.016845703125,5995600,PG,-0.7184
2021-10-12,142.60000610351562,143.0399932861328,141.6999969482422,142.11000061035156,137.8131866455078,6734800,PG,0.25317142857142855
2021-10-13,142.39999389648438,142.75999450683594,141.02999877929688,142.44000244140625,138.13320922851562,5689800,PG,0.154125
2021-10-14,142.8300018310547,144.30999755859375,142.80999755859375,144.0500030517578,139.6945343017578,6777800,PG,0.36525555555555556
2021-10-15,144.52000427246094,144.8699951171875,143.67999267578125,144.4199981689453,140.0533447265625,6923700,PG,0.019457142857142864
2021-10-18,143.5500030517578,143.6999969482422,142.10000610351562,142.33999633789062,138.03622436523438,9119000,PG,0.06164285714285716
2021-10-19,139.0800018310547,140.82000732421875,138.8000030517578,140.66000366210938,136.40704345703125,9555300,PG,0.13135000000000002
2021-10-20,140.14999389648438,141.9600067138672,139.85000610351562,141.2100067138672,136.9404296875,7352700,PG,0.16801666666666668
2021-10-21,140.86000061035156,141.16000366210938,139.17999267578125,139.3300018310547,135.95486450195312,6545500,PG,-0.12158333333333333
2021-10-22,139.38999938964844,141.00999450683594,139.32000732421875,140.8300018310547,137.4185333251953,5265000,PG,0.012041666666666664
2021-10-25,140.41000366210938,140.9199981689453,139.0500030517578,140.85000610351562,137.43804931640625,5382100,PG,-0.03079285714285714
2021-10-26,141.6199951171875,143.17999267578125,141.24000549316406,142.85000610351562,139.3896026611328,6234900,PG,0.06210000000000001
2021-10-27,143.13999938964844,143.67999267578125,141.69000244140625,141.8300018310547,138.39430236816406,9643500,PG,0.21221250000000003
