Date,Open,High,Low,Close,Adj Close,Volume,Stock Name,daily_sentiment
2021-09-30,259.6499938964844,263.4700012207031,258.7300109863281,260.2099914550781,260.2099914550781,5321700,PYPL,0.0
2021-10-01,261.4549865722656,265.82000732421875,260.1099853515625,264.6499938964844,264.6499938964844,4560400,PYPL,0.0
2021-10-04,261.8380126953125,262.57000732421875,251.58999633789065,255.00999450683597,255.00999450683597,7267200,PYPL,0.9432
2021-10-05,255.22000122070312,262.7699890136719,253.58999633789065,260.1499938964844,260.1499938964844,6326600,PYPL,0.546
2021-10-06,256.2900085449219,264.3900146484375,256.0299987792969,264.0599975585937,264.0599975585937,4615300,PYPL,0.4215
2021-10-07,265.95001220703125,268.6929931640625,263.07000732421875,263.5400085449219,263.5400085449219,5276400,PYPL,0.4215
2021-10-08,264.9549865722656,265.4700012207031,259.79998779296875,260.0599975585937,260.0599975585937,4095900,PYPL,0.8074
2021-10-11,257.92999267578125,260.6600036621094,254.69000244140625,255.0500030517578,255.0500030517578,5031700,PYPL,0.6705
2021-10-12,256.0,257.9700012207031,253.77999877929688,255.8500061035156,255.8500061035156,4289300,PYPL,0.1779
2021-10-13,258.7300109863281,261.239990234375,254.2449951171875,256.3599853515625,256.3599853515625,6024100,PYPL,0.765
2021-10-14,261.5,267.4100036621094,260.20001220703125,266.45001220703125,266.45001220703125,7850600,PYPL,0.1779
2021-10-15,268.70098876953125,269.72100830078125,265.44000244140625,268.3500061035156,268.3500061035156,5007900,PYPL,0.23420000000000002
2021-10-18,266.3900146484375,270.44000244140625,264.7099914550781,270.3299865722656,270.3299865722656,4367100,PYPL,-0.6096
2021-10-19,271.010009765625,273.2699890136719,269.8349914550781,271.70001220703125,271.70001220703125,3985900,PYPL,0.2023
2021-10-20,273.0,273.510009765625,253.1000061035156,258.3599853515625,258.3599853515625,31271700,PYPL,0.10114782608695654
2021-10-21,258.6099853515625,258.9599914550781,242.97999572753903,243.2100067138672,243.2100067138672,42508900,PYPL,-0.016133333333333343
2021-10-22,243.72999572753903,246.66000366210935,239.75,240.3999938964844,240.3999938964844,24170900,PYPL,-0.4484
2021-10-25,254.9550018310547,255.5200042724609,245.82000732421875,246.8800048828125,246.8800048828125,23046700,PYPL,-0.03977857142857143
2021-10-26,249.4499969482422,249.8800048828125,241.00999450683597,243.0,243.0,14404300,PYPL,-0.03977857142857143
2021-10-27,243.8500061035156,244.69000244140625,233.9199981689453,234.94000244140625,234.94000244140625,19043900,PYPL,0.0
2021-10-28,237.0,237.94000244140625,232.77999877929688,236.8300018310547,236.8300018310547,14288300,PYPL,-0.13854999999999998
2021-10-29,235.42999267578125,238.8999938964844,231.7100067138672,232.58999633789065,232.58999633789065,13010800,PYPL,-0.17
2021-11-01,232.6999969482422,233.5500030517578,230.19000244140625,231.27999877929688,231.27999877929688,14054900,PYPL,-0.17
2021-11-02,232.5399932861328,232.7610015869141,227.8000030517578,229.4600067138672,229.4600067138672,12676700,PYPL,0.536375
2021-11-03,228.3300018310547,230.8999938964844,225.30999755859372,230.3800048828125,230.3800048828125,14178000,PYPL,0.3878333333333333
2021-11-04,231.6100006103516,231.9199981689453,225.0,228.22000122070312,228.22000122070312,14158900,PYPL,0.3911
2021-11-05,230.0,230.4199981689453,224.6000061035156,225.77999877929688,225.77999877929688,16665600,PYPL,0.04295
2021-11-08,227.9600067138672,230.97000122070312,226.25,229.4199981689453,229.4199981689453,23213900,PYPL,0.14438
2021-11-09,212.3999938964844,212.3999938964844,200.67999267578125,205.4199981689453,205.4199981689453,63995100,PYPL,0.11206
2021-11-10,204.1000061035156,208.1999969482422,202.77999877929688,204.63999938964844,204.63999938964844,23585900,PYPL,0.3187
2021-11-11,207.9199981689453,208.30999755859372,201.55999755859372,202.02999877929688,202.02999877929688,17712100,PYPL,0.510375
2021-11-12,203.25,210.0200042724609,201.48399353027344,208.3000030517578,208.3000030517578,20954600,PYPL,0.45793333333333336
2021-11-15,212.22000122070312,214.20899963378903,210.7100067138672,212.5399932861328,212.5399932861328,17433100,PYPL,0.58545
2021-11-16,214.88999938964844,215.97000122070312,211.7700042724609,215.6699981689453,215.6699981689453,16697500,PYPL,0.375275
2021-11-17,211.1450042724609,213.97000122070312,203.3500061035156,206.2700042724609,206.2700042724609,23095600,PYPL,0.6469
2021-11-18,206.9900054931641,207.5,199.1999969482422,200.5,200.5,19980100,PYPL,0.37394
2021-11-19,202.19000244140625,202.5,193.07000732421875,193.6100006103516,193.6100006103516,24607500,PYPL,0.18969999999999998
2021-11-22,193.6199951171875,193.8999938964844,184.2749938964844,189.47999572753903,189.47999572753903,29956600,PYPL,-0.062049999999999994
2021-11-23,189.15499877929688,190.7899932861328,185.1999969482422,188.0500030517578,188.0500030517578,20004500,PYPL,0.31845
2021-11-24,187.0,189.63999938964844,184.7400054931641,188.7100067138672,188.7100067138672,13359100,PYPL,0.8384333333333333
2021-11-26,188.3800048828125,193.0,186.8300018310547,187.7899932861328,187.7899932861328,11080400,PYPL,0.9081
